機械式/電子式,點位輸出入,資料地址,更換料號,設備描述,分類,最大壽命,當前使用次數,剩餘壽命,綠燈登錄,黃燈登錄,紅燈登錄,當前零件安裝時間,當前零件卸除時間,歷史使用時間,歷史使用次數
TRUE,0,Y32,EP-90938J-1,三色燈 (黃),COMMON,100000,,,,,,,,,
TRUE,0,Y33,EP-90938J-1,三色燈 (紅),COMMON,100000,,,,,,,,,
TRUE,0,Y36,EP-90938F,工作燈,COMMON,100000,,,,,,,,,
TRUE,0,Y40,EP-90573B,中央防震插銷開/夾電磁閥,COMMON,100000,,,,,,,,,
FALSE,0,Y41,EP-90573B,中央防震左移,COMMON,100000,,,,,,,,,
FALSE,0,Y42,EP-90573B,中央防震右移,COMMON,100000,,,,,,,,,
TRUE,0,Y43,EP-90573B,前頂夾上升電磁閥,COMMON,100000,,,,,,,,,
TRUE,0,Y44,EP-90573B,前頂夾下降電磁閥,COMMON,100000,,,,,,,,,
TRUE,0,Y45,EP-90573B,前頂夾左移電磁閥,COMMON,100000,,,,,,,,,
TRUE,0,Y46,EP-90573B,前頂夾右移電磁閥,COMMON,100000,,,,,,,,,
TRUE,0,Y47,EP-90573B,後頂夾上升電磁閥,COMMON,100000,,,,,,,,,
TRUE,0,Y50,EP-90573B,後頂夾下降電磁閥,COMMON,100000,,,,,,,,,
TRUE,0,Y51,EP-90573B,後頂夾左移電磁閥,COMMON,100000,,,,,,,,,
TRUE,0,Y52,EP-90573B,後頂夾右移電磁閥,COMMON,100000,,,,,,,,,
TRUE,0,Y53,PP-96001,潤滑系統啟動,COMMON,100000,,,,,,,,,
TRUE,0,Y56,PP-96001,噴霧裝置啟動,COMMON,100000,,,,,,,,,
